M,date,lat,lon,prof
"M
3.8",01/01/2022  -  10:26:36  ,-4.8673,-80.7908,25
"M
4.2",01/01/2022  -  12:04:52  ,-4.939,-81.1582,24
"M
4.1",02/01/2022  -  20:20:33  ,-9.6246,-79.5228,27
"M
4.3",02/01/2022  -  20:51:38  ,-12.7803,-73.6406,97
"M
4",02/01/2022  -  23:20:19  ,-5.8466,-80.8432,31
"M
3.6",03/01/2022  -  20:38:06  ,-8.6863,-77.8341,17
"M
4.1",03/01/2022  -  22:09:49  ,-4.9246,-81.0421,22
"M
4",04/01/2022  -  22:32:53  ,-12.6327,-77.2495,22
"M
4.1",05/01/2022  -  10:26:04  ,-4.7025,-80.3146,56
"M
3.7",06/01/2022  -  10:19:25  ,-9.5565,-75.5176,19
"M
4",06/01/2022  -  10:35:56  ,-5.6698,-77.2732,39
"M
4",06/01/2022  -  16:24:08  ,-11.4047,-76.3428,108
"M
3.5",06/01/2022  -  22:04:03  ,-12.8041,-76.9879,44
"M
4.4",07/01/2022  -  01:04:43  ,-17.5233,-69.8723,12
"M
4",07/01/2022  -  02:48:41  ,-4.7117,-76.9259,139
"M
5.6",07/01/2022  -  05:27:05  ,-11.9721,-76.8429,105
"M
3.5",07/01/2022  -  07:48:30  ,-17.4972,-69.8482,12
"M
3.7",07/01/2022  -  21:13:09  ,-17.4917,-69.8353,16
"M
3.7",08/01/2022  -  02:54:31  ,-12.7787,-76.9083,46
"M
3.9",08/01/2022  -  11:47:10  ,-12.7642,-76.8848,36
"M
3.9",08/01/2022  -  16:20:49  ,-16.7972,-71.8499,35
"M
3.7",08/01/2022  -  18:36:00  ,-11.3023,-74.6381,13
"M
3.7",10/01/2022  -  05:34:50  ,-8.9708,-78.1262,22
"M
3.7",10/01/2022  -  21:24:58  ,-15.7957,-71.9348,10
"M
3.9",10/01/2022  -  23:27:13  ,-8.9584,-78.7968,63
"M
3.4",12/01/2022  -  06:04:58  ,-15.3716,-70.9382,10
"M
3.6",12/01/2022  -  19:06:58  ,-14.1468,-71.4308,15
"M
3.8",13/01/2022  -  02:53:50  ,-9.8137,-78.8227,32
"M
4",15/01/2022  -  16:54:18  ,-17.6609,-69.6297,171
"M
3.5",15/01/2022  -  18:28:49  ,-11.5123,-76.662,22
"M
4.2",16/01/2022  -  11:36:46  ,-15.1846,-71.9464,136
"M
3.6",17/01/2022  -  19:56:11  ,-11.8141,-77.6579,54
"M
4",17/01/2022  -  23:31:33  ,-7.636,-76.3461,152
"M
3.7",18/01/2022  -  01:02:43  ,-5.33,-78.82,23
"M
4.1",18/01/2022  -  04:02:47  ,-17.661,-70.517,100
"M
4",18/01/2022  -  09:45:54  ,-18.4496,-70.9152,32
"M
4",18/01/2022  -  18:46:03  ,-4.5235,-77.0388,104
"M
3.9",19/01/2022  -  03:06:27  ,-8.6808,-77.827,14
"M
4.1",19/01/2022  -  06:17:22  ,-7.3104,-75.7099,34
"M
4.7",20/01/2022  -  01:32:21  ,-9.8578,-75.0198,68
"M
4.2",20/01/2022  -  05:45:57  ,-5.1217,-80.1891,84
"M
4",20/01/2022  -  22:42:59  ,-8.2174,-74.2338,154
"M
3.9",21/01/2022  -  22:55:48  ,-14.2363,-70.7162,10
"M
4.9",22/01/2022  -  02:23:32  ,-14.5845,-75.7354,63
"M
3.7",22/01/2022  -  19:17:06  ,-14.2088,-70.7514,15
"M
3.9",22/01/2022  -  23:12:29  ,-14.2194,-70.7277,13
"M
4.2",23/01/2022  -  06:13:09  ,-9.3323,-78.9565,72
"M
3.9",23/01/2022  -  16:33:49  ,-14.2191,-70.7336,13
"M
3.2",23/01/2022  -  21:16:26  ,-12.3007,-76.8936,55
"M
4",24/01/2022  -  07:17:51  ,-5.3387,-78.8041,27
"M
4.3",24/01/2022  -  11:37:06  ,-16.068,-72.8268,102
"M
4.3",25/01/2022  -  05:19:07  ,-10.5943,-80.538,10
"M
4.1",25/01/2022  -  13:47:45  ,-8.3557,-74.1167,119
"M
3.6",26/01/2022  -  00:30:35  ,-13.2746,-76.5149,56
"M
4.1",26/01/2022  -  09:54:53  ,-18.8399,-70.1077,74
"M
4.2",26/01/2022  -  15:47:51  ,-14.8514,-75.5255,52
"M
4.5",27/01/2022  -  09:21:00  ,-10.8968,-73.8053,126
"M
5.5",27/01/2022  -  19:31:25  ,-19.276,-69.7501,109
"M
5",28/01/2022  -  08:43:27  ,-18.811,-69.7297,124
"M
4.1",29/01/2022  -  15:04:53  ,-5.5676,-80.921,32
"M
4.2",29/01/2022  -  16:18:19  ,-9.4147,-75.4734,25
"M
4.4",29/01/2022  -  17:37:41  ,-7.9454,-74.549,139
"M
4.3",30/01/2022  -  09:06:05  ,-12.7673,-76.9805,47
"M
5",30/01/2022  -  19:08:17  ,-14.9245,-73.9447,114
"M
4",30/01/2022  -  21:05:15  ,-11.46,-76.37,132
"M
4",31/01/2022  -  01:48:12  ,-11.1677,-73.383,29
"M
3.8",31/01/2022  -  21:26:30  ,-12.6395,-76.7895,46
"M
4.5",01/02/2022  -  14:01:16  ,-15.2801,-75.3842,48
"M
3.7",01/02/2022  -  17:27:21  ,-12.5944,-76.9704,42
"M
3.7",01/02/2022  -  23:43:56  ,-4.8764,-80.837,29
"M
3.6",02/02/2022  -  13:31:19  ,-4.9316,-80.7571,35
"M
4.6",02/02/2022  -  14:28:46  ,-7.9904,-74.4022,122
